date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:36	7489/7489	---M--	200	added ('OK')	image/png	etag:%22858fa483e66550c29751946a9080e336%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/logo.png	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/logo.png	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:36	7429/7429	---M--	200	added ('OK')	image/png	etag:%221febbe492010606b6cb97186e0fdb5dd%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/logo2.png	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/logo2.png	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:37	32801/32801	---M--	200	added ('OK')	image/jpeg	etag:%220ff47bdf653db3e09d644557b7a9926d%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/hero.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/hero.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:37	22516/22516	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:55%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/index.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/index.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:37	26727/26727	---M--	200	added ('OK')	image/jpeg	etag:%22f336f13f3f00deddc1b81cd7c4db8c26%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/h1.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/h1.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:37	36799/36799	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:55%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/index-2.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/index-2.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:38	26826/26826	---M--	200	added ('OK')	image/jpeg	etag:%22957056531fe11c959b844235ab1ec59a%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/h2.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/h2.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:38	21273/21273	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:53%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/about.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/about.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:38	24616/24616	---M--	200	added ('OK')	image/jpeg	etag:%22ce4e9d65591856fc0ac58b49facfcd46%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/about.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/about.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:38	16388/16388	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/service.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/service.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
